,sentence,target
4093,A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her .,0
4094,"Spielberg 's first real masterpiece , it deserved all the hearts it won -- and wins still , 20 years later .",4
4095,"By the time we learn that Andrew 's Turnabout Is Fair Play is every bit as awful as Borchardt 's Coven , we can enjoy it anyway .",2
4096,Jason Patric and Ray Liotta make for one splendidly cast pair .,4
4097,"It takes a strange kind of laziness to waste the talents of Robert Forster , Anne Meara , Eugene Levy , and Reginald VelJohnson all in the same movie .",0
4098,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .,4
4099,If Steven Soderbergh 's ` Solaris ' is a failure it is a glorious failure .,4
4100,"Kurys never shows why , of all the period 's volatile romantic lives , Sand and Musset are worth particular attention .",2
4101,Told just proficiently enough to trounce its overly comfortable trappings .,3
4102,His work with actors is particularly impressive .,4
4103,"Distances you by throwing out so many red herrings , so many false scares , that the genuine ones barely register .",0
4104,"Like Kubrick , Soderbergh is n't afraid to try any genre and to do it his own way .",3
4105,"It does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28K modem .",1
4106,By-the-numbers yarn .,1
4107,A tasty masala .,3
4108,A suffocating rape-payback horror show that hinges on the subgenre 's most enabling victim ... and an ebullient affection for industrial-model meat freezers .,3
4109,"Loses its sense of humor in a vat of failed jokes , twitchy acting , and general boorishness .",0
4110,Any rock pile will do for a set .,1
4111,"Loosely speaking , we 're in All of Me territory again , and , strictly speaking , Schneider is no Steve Martin .",0
4112,Only two-fifths of a satisfying movie experience .,2
4113,"Well-nigh unendurable ... though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull .",0
4114,A fascinating literary mystery story with multiple strands about the controversy of who really wrote Shakespeare 's plays .,4
4115,A marvel like none you 've seen .,3
4116,Garcia and the other actors help make the wobbly premise work .,3
4117,"Not to mention a sharper , cleaner camera lens .",2
4118,"The far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past .",3
4119,What results is the best performance from either in years .,4
4120,"A photographic marvel of sorts , and it 's certainly an invaluable record of that special fishy community .",3
4121,"With its hints of a greater intelligence lurking somewhere , The Ring makes its stupidity more than obvious .",1
4122,"It 's a rollicking adventure for you and all your mateys , regardless of their ages .",4
4123,"The tug-of-war at the core of Beijing Bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes .",1
4124,Walsh ca n't quite negotiate the many inconsistencies in Janice 's behavior or compensate for them by sheer force of charm .,2
4125,"It 's got the brawn , but not the brains .",1
4126,"As a story of dramatic enlightenment , the screenplay by Billy Ray and Terry George leaves something to be desired .",1
4127,If only Merchant paid more attention the story .,1
4128,"Oh , and more entertaining , too .",3
4129,"Director Shekhar Kapur and screenwriters Michael Schiffer and Hossein Amini have tried hard to modernize and reconceptualize things , but the barriers finally prove to be too great .",1
4130,"What I saw , I enjoyed .",4
4131,A complex psychological drama about a father who returns to his son 's home after decades away .,3
4132,"On the bright side , it contains Jesse Ventura 's best work since the XFL .",2
4133,"A mostly believable , refreshingly low-key and quietly inspirational little sports drama .",3
4134,"... Tara Reid plays a college journalist , but she looks like the six-time winner of the Miss Hawaiian Tropic Pageant , so I do n't know what she 's doing in here ...",1
4135,"A baffling subplot involving smuggling drugs inside Danish cows falls flat , and if you 're going to alter the Bard 's ending , you 'd better have a good alternative .",1
4136,"Certainly not a good movie , but it was n't horrible either .",1
4137,Beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .,3
4138,The best film of the year 2002 .,3
4139,The film proves unrelentingly grim -- and equally engrossing .,3
4140,"The humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original .",0
4141,"Due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality .",1
4142,"Aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships .",0
4143,It made me want to wrench my eyes out of my head and toss them at the screen .,1
4144,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",3
4145,"A pleasant ramble through the sort of idoosyncratic terrain that Errol Morris has often dealt with ... it does possess a loose , lackadaisical charm .",3
4146,"A static and sugary little half-hour , after-school special about interfaith understanding , stretched out to 90 minutes .",2
4147,Did we really need a remake of `` Charade ? '',1
4148,Dramatically lackluster .,0
4149,One of the greatest romantic comedies of the past decade .,4
4150,"Ringu is a disaster of a story , full of holes and completely lacking in chills .",0
4151,"Even if it is generally amusing from time to time , I Spy has all the same problems the majority of action comedies have .",1
4152,"A rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .",4
4153,"The delicious trimmings ... arrive early and stay late , filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a Scrooge or two .",4
4154,All these developments and challenges facing Santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility .,0
4155,"Spirit is a visual treat , and it takes chances that are bold by studio standards , but it lacks a strong narrative .",3
4156,It should have stayed there .,1
4157,The pivotal narrative point is so ripe the film ca n't help but go soft and stinky .,1
4158,But you 'll definitely want the T-shirt .,2
4159,"Professionally speaking , it 's tempting to jump ship in January to avoid ridiculous schlock like this shoddy suspense thriller .",0
4160,"But for the most part , The Weight of Water comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness .",1
4161,"` Abandon all hope , ye who enter here ' ... you should definitely let Dante 's gloomy words be your guide .",1
4162,"Mr. Polanski is in his element here : alone , abandoned , but still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival .",3
4163,... understands that a generation defines its music as much as the music defines a generation .,2
4164,The movie exists for its soccer action and its fine acting .,3
4165,Spain 's greatest star wattage does n't overcome the tumult of maudlin tragedy .,1
4166,The film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,2
4167,The Marquis de Sade could n't have been as dull a person as this film makes him out to be .,2
4168,"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",4
4169,Plays out with a dogged and eventually winning squareness that would make it the darling of many a kids-and-family-oriented cable channel .,3
4170,This is Carion 's debut feature but his script and direction hums with a confidence that many spend entire careers trying to reach .,4
4171,It 's too interested in jerking off in all its Byzantine incarnations to bother pleasuring its audience .,0
4172,"an 83 minute document of a project which started in a muddle , seesawed back and forth between controlling interests multiple times , then found its sweet spot",2
4173,"Fortunately for all involved , this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water .",0
4174,"Until it goes off the rails in its final 10 or 15 minutes , Wendigo , Larry Fessenden 's spooky new thriller , is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films .",3
4175,"Branagh , in his most forceful non-Shakespeare screen performance , grounds even the softest moments in the angry revolt of his wit .",3
4176,"Thoughtless , random , superficial humour and a lot of very bad Scouse accents",0
4177,Nettelbeck ... has a pleasing way with a metaphor .,3
4178,"Terminally bland , painfully slow and needlessly confusing ... The movie , shot on digital videotape rather than film , is frequently indecipherable .",1
4179,A stylish thriller .,4
4180,It 's a diverting enough hour-and-a-half for the family audience .,3
4181,"A naturally funny film , Home Movie makes you crave Chris Smith 's next movie .",4
4182,"the film belongs to the marvelous Verdu , a sexy slip of an earth mother who mourns her tragedies in private and embraces life in public",3
4183,classic cinema served up with heart and humor,4
4184,"It 's also , clearly , great fun .",4
4185,"Seeks to transcend its genre with a curiously stylized , quasi-Shakespearean portrait of pure misogynist evil .",3
4186,A movie version of a paint-by-numbers picture .,0
4187,"Plays as hollow catharsis , with lots of tears but very little in the way of insights .",1
4188,"At its worst , it 's Rambo - meets-John Ford .",2
4189,It 's not difficult to spot the culprit early-on in this predictable thriller .,2
4190,"The movie takes itself too seriously and , as a result , it makes for only intermittent fun .",1
4191,A gentle and engrossing character study .,3
4192,"Tsai has managed to create an underplayed melodrama about family dynamics and dysfunction that harks back to the spare , unchecked heartache of Yasujiro Ozu .",2
4193,Matthew Lillard is born to play Shaggy !,4
4194,"Looking aristocratic , luminous yet careworn in Jane Hamilton 's exemplary costumes , Rampling gives a performance that could not be improved upon . '",4
4195,"A tough go , but Leigh 's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film 's often-mined and despairing milieu .",3
4196,But not without cheesy fun factor .,3
4197,"Shadyac , who belongs with the damned for perpetrating Patch Adams , trots out every ghost trick from The Sixth Sense to The Mothman Prophecies .",2
4198,"For all its failed connections , Divine Secrets of the Ya-Ya Sisterhood is nurturing , in a gauzy , dithering way .",3
4199,"Shyamalan offers copious hints along the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to Earth for harvesting purposes .",3
4200,A captivating new film .,4
4201,"She nearly glows with enthusiasm , sensuality and a conniving wit .",3
4202,Its director 's most substantial feature for some time .,3
4203,"The enjoyable Undercover Brother , a zany mix of Saturday Night Live-style parody , '70s Blaxploitation films and goofball action comedy gone wild , dishes out a ton of laughs that everyone can enjoy .",4
4204,Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,0
4205,"Smug , artificial , ill-constructed and fatally overlong ... it never finds a consistent tone and lacks bite , degenerating into a pious , preachy soap opera .",2
4206,"American musical comedy as we know it would n't exist without the precedent of Yiddish theater , whose jolly , fun-for-fun 's - sake communal spirit goes to the essence of Broadway .",3
4207,Blithely anachronistic and slyly achronological .,2
4208,"What 's most memorable about Circuit is that it 's shot on digital video , whose tiny camera enables Shafer to navigate spaces both large ... and small ... with considerable aplomb .",3
4209,"Symbolically , Warm Water Under a Red Bridge is a celebration of feminine energy , a tribute to the power of women to heal .",3
4210,"Return to Never Land is reliable , standard Disney animated fare , with enough creative energy and wit to entertain all ages .",4
4211,"No movement , no yuks , not much of anything .",1
4212,That 's the only sane rationale I can think of for Swimfan 's existence .,2
4213,This is junk food cinema at its greasiest .,1
4214,Entertaining but like shooting fish in a barrel .,2
4215,Schrader examines Crane 's decline with unblinking candor .,3
4216,A battle between bug-eye theatre and dead-eye matinee .,1
4217,"Well before it 's over , Beijing Bicycle begins spinning its wheels .",2
4218,"Less cinematically powerful than quietly and deeply moving , which is powerful in itself .",2
4219,"But when it does , you 're entirely unprepared .",2
4220,"Nothing Denis has made before , like Beau Travil and Nenette et Boni , could prepare us for this gory , perverted , sex-soaked riff on the cannibal genre .",1
4221,The characters are interesting and often very creatively constructed from figure to backstory .,4
4222,The movie 's biggest shocks come from seeing former nymphette Juliette Lewis playing a salt-of-the-earth mommy named Minnie and watching Slim travel incognito in a ridiculous wig no respectable Halloween costume shop would ever try to sell .,1
4223,Let your silly childhood nostalgia slumber unmolested .,1
4224,"Though the controversial Korean filmmaker 's latest effort is not for all tastes , it offers gorgeous imagery , effective performances , and an increasingly unsettling sense of foreboding .",3
4225,Same guy with both hats .,2
4226,"Green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .",0
4227,"Scooby Doo is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation .",4
4228,Sensitive though not quite revelatory documentary .,2
4229,Witty dialog between realistic characters showing honest emotions .,3
4230,The second coming of Harry Potter is a film far superior to its predecessor .,4
4231,"A ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .",2
4232,It gives devastating testimony to both people 's capacity for evil and their heroic capacity for good .,3
4233,Maybe Thomas Wolfe was right : You ca n't go home again .,2
4234,"Broomfield is energized by Volletta Wallace 's maternal fury , her fearlessness , and because of that , his film crackles .",4
4235,Maggie G. makes an amazing breakthrough in her first starring role and eats up the screen .,4
4236,Give credit to everyone from Robinson down to the key grip that this bold move works .,4
4237,It 's made with deftly unsettling genre flair .,3
4238,"A portrait of alienation so perfect , it will certainly succeed in alienating most viewers .",1
4239,"A fiercely clever and subtle film , capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries .",4
4240,I 'm sure there 's a teenage boy out there somewhere who 's dying for this kind of entertainment .,1
4241,"Now as a former Gong Show addict , I 'll admit it , my only complaint is that we did n't get more re-creations of all those famous moments from the show .",3
4242,"It might be tempting to regard Mr. Andrew and his collaborators as oddballs , but Mr. Earnhart 's quizzical , charming movie allows us to see them , finally , as artists .",3
4243,It is definitely worth seeing .,4
4244,"Family portrait of need , neurosis and nervy negativity is a rare treat that shows the promise of digital filmmaking .",3
4245,"Hu and Liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .",4
4246,"At times , however , Dogtown and Z-Boys lapses into an insider 's lingo and mindset that the uninitiated may find hard to follow , or care about .",1
4247,"Morrissette has performed a difficult task indeed - he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating .",1
4248,"When the screenwriter responsible for one of the worst movies of one year directs an equally miserable film the following year , you 'd have a hard time believing it was just coincidence .",1
4249,The film 's tone and pacing are off almost from the get-go .,1
4250,"Amy and Matthew have a bit of a phony relationship , but the film works in spite of it .",3
4251,"Windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live .",3
4252,"Not only are the film 's Sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were .",0
4253,"What they 're doing is a matter of plumbing arrangements and mind games , of no erotic or sensuous charge .",1
4254,"And the reason for that is a self-aware , often self-mocking , intelligence .",3
4255,Brilliantly explores the conflict between following one 's heart and following the demands of tradition .,4
4256,"The director mostly plays it straight , turning Leys ' fable into a listless climb down the social ladder .",1
4257,It 's that good .,4
4258,To say Analyze That is De Niro 's best film since Meet the Parents sums up the sad state of his recent career .,2
4259,"The comic performances are all spot on , especially Lee Ross 's turn as Ken .",4
4260,"Not only does the movie fail to make us part of its reality , it fails the most basic relevancy test as well .",1
4261,The only time 8 Crazy Nights comes close to hitting a comedic or satirical target is during the offbeat musical numbers .,2
4262,Mr. Koshashvili is a director to watch .,4
4263,Works because Reno does n't become smug or sanctimonious towards the audience .,4
4264,"The trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .",1
4265,"Disappointingly , the characters are too strange and dysfunctional , Tom included , to ever get under the skin , but this is compensated in large part by the off-the-wall dialogue , visual playfulness and the outlandishness of the idea itself .",2
4266,"Although largely a heavy-handed indictment of parental failings and the indifference of Spanish social workers and legal system towards child abuse , the film retains ambiguities that make it well worth watching .",3
4267,... spellbinding fun and deliciously exploitative .,4
4268,Will certainly appeal to Asian cult cinema fans and Asiaphiles interested to see what all the fuss is about .,3
4269,"The film is just a big , gorgeous , mind-blowing , breath-taking mess .",3
4270,"It may be a no-brainer , but at least it 's a funny no-brainer .",3
4271,"` It 's painful to watch Witherspoon 's talents wasting away inside unnecessary films like Legally Blonde and Sweet Home Abomination , I mean , Alabama . '",0
4272,"Weaver and LaPaglia are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk .",4
4273,"Why sit through a crummy , wannabe-hip crime comedy that refers incessantly to old movies , when you could just rent those movies instead , let alone seek out a respectable new one ?",0
4274,A riveting documentary .,4
4275,The movie gets muted and routine .,1
4276,An affectionately goofy satire that 's unafraid to throw elbows when necessary ...,3
4277,"Ray Liotta and Jason Patric do some of their best work in their underwritten roles , but do n't be fooled : Nobody deserves any prizes here .",1
4278,"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",2
4279,Friday After Next has the same problem that Next Friday did -- it 's called Where 's Chris Tucker When You Need Him ?,1
4280,The film is way too full of itself ; it 's stuffy and pretentious in a give-me-an-Oscar kind of way .,1
4281,Deepa Mehta provides an accessible introduction as well as some intelligent observations on the success of Bollywood in the Western world .,3
4282,"These are lives worth watching , paths worth following .",4
4283,"There 's something deeply creepy about Never Again , a new arrow in Schaeffer 's quiver of ineptitudes .",2
4284,"What a concept , what an idea , what a thrill ride .",4
4285,"A teasing drama whose relentless good-deed\/bad-deed reversals are just interesting enough to make a sinner like me pray for an even more interesting , less symmetrical , less obviously cross-shaped creation .",3
4286,"Extreme Oops - oops , ops , no matter how you spell it , it 's still a mistake to go see it .",1
4287,A wild ride with eight boarders from Venice Beach that was a deserved co-winner of the Audience Award for documentaries at the Sundance Film Festival .,4
4288,Holden Caulfield did it better .,1
4289,"Ah , the travails of metropolitan life !",2
4290,"The film has the high-buffed gloss and high-octane jolts you expect of De Palma , but what makes it transporting is that it 's also one of the smartest , most pleasurable expressions of pure movie love to come from an American director in years .",3
4291,"Some are fascinating and others are not , and in the end , it is almost a good movie .",2
4292,"The filmmakers try to balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching .",3
4293,"Blisteringly rude , scarily funny , sorrowfully sympathetic to the damage it surveys , the film has in Kieran Culkin a pitch-perfect Holden .",4
4294,"It 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks .",1
4295,"Stale first act , Scrooge story , blatant product placement , some very good comedic songs , strong finish , dumb fart jokes .",1
4296,Has its charming quirks and its dull spots .,2
4297,"A moving , if uneven , success .",3
4298,"But the talented cast alone will keep you watching , as will the fight scenes .",4
4299,"Trouble Every Day is a success in some sense , but it 's hard to like a film so cold and dead .",1
4300,"This is as respectful a film as Byatt fans could hope for , though lovers of the book may wonder why it 's necessary .",2
4301,It can be safely recommended as a video\/DVD babysitter .,3
4302,Provides a satisfactory overview of the bizarre world of extreme athletes as several daredevils express their own views .,3
4303,"Foster nails the role , giving a tight , focused performance illuminated by shards of feeling .",3
4304,"Andy Garcia enjoys one of his richest roles in years and Mick Jagger gives his best movie performance since , well , Performance .",4
4305,"It sounds like another clever if pointless excursion into the abyss , and that 's more or less how it plays out .",1
4306,delightfully rendered,4
4307,"In painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people , the movie exalts the Marxian dream of honest working folk , with little to show for their labor , living harmoniously , joined in song .",3
4308,"Lovingly choreographed bloodshed taking place in a pristine movie neverland , basically .",3
4309,"These are names to remember , in order to avoid them in the future .",0
4310,It makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .,3
4311,The screenplay sabotages the movie 's strengths at almost every juncture .,1
4312,Moot point .,1
4313,We may never think of band camp as a geeky or nerdy thing again .,2
4314,"A journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes Holly and Marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",3
4315,"With each of her three protagonists , Miller eloquently captures the moment when a woman 's life , out of a deep-seated , emotional need , is about to turn onto a different path .",4
4316,... a series of tales told with the intricate preciseness of the best short story writing .,4
4317,Writer\/director Mark Romanek spotlights the underlying caste system in America .,2
4318,"More intimate than spectacular , E.T. is carried less by wow factors than by its funny , moving yarn that holds up well after two decades .",4
4319,Too bad none of it is funny .,0
4320,"It 's too harsh to work as a piece of storytelling , but as an intellectual exercise -- an unpleasant debate that 's been given the drive of a narrative and that 's been acted out -- The Believer is nothing less than a provocative piece of work .",3
4321,Too much of the humor falls flat .,1
4322,A compelling French psychological drama examining the encounter of an aloof father and his chilly son after 20 years apart .,3
4323,... either you 're willing to go with this claustrophobic concept or you 're not .,2
4324,It 's a 100-year old mystery that is constantly being interrupted by Elizabeth Hurley in a bathing suit .,2
4325,"A special kind of movie , this melancholic film noir reminded me a lot of Memento ...",4
4326,"A great ending does n't make up for a weak movie , and Crazy as Hell does n't even have a great ending .",1
4327,Will warm your heart without making you feel guilty about it .,4
4328,The IMAX screen enhances the personal touch of manual animation .,4
4329,Davis has filled out his cast with appealing fresh faces .,4
4330,"Like the Tuck family themselves , this movie just goes on and on and on and on",0
4331,"At its best , which occurs often , Michael Moore 's Bowling for Columbine rekindles the muckraking , soul-searching spirit of the ` Are we a sick society ? '",3
4332,This one is not nearly as dreadful as expected .,3
4333,"Shot largely in small rooms , the film has a gentle , unforced intimacy that never becomes claustrophobic .",4
4334,"Often demented in a good way , but it is an uneven film for the most part .",1
4335,"But , like Silence , it 's a movie that gets under your skin .",1
4336,He thinks the film is just as much a document about him as it is about the subject .,1
4337,"It 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible , pun-laden dialogue .",1
4338,Very predictable but still entertaining,3
4339,It made me realize that we really have n't had a good cheesy B-movie playing in theaters since ... well ... since last week 's Reign of Fire .,1
4340,"The movie does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the Cotswolds .",3
4341,A true pleasure .,3
4342,Another in-your-face wallow in the lower depths made by people who have never sung those blues .,1
4343,"Never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches ... gorgeous , passionate , and at times uncommonly moving .",3
4344,"Bad in such a bizarre way that it 's almost worth seeing , if only to witness the crazy confluence of purpose and taste .",2
4345,Hard-core slasher aficionados will find things to like ... but overall the Halloween series has lost its edge .,1
4346,"However stale the material , Lawrence 's delivery remains perfect ; his great gift is that he can actually trick you into thinking some of this worn-out , pandering palaver is actually funny .",2
4347,A subject like this should inspire reaction in its audience ; The Pianist does not .,1
4348,"It 's a frightful vanity film that , no doubt , pays off what debt Miramax felt they owed to Benigni .",0
4349,The movie does n't add anything fresh to the myth .,1
4350,The script becomes lifeless and falls apart like a cheap lawn chair .,1
4351,Dripping with cliche and bypassing no opportunity to trivialize the material .,0
4352,`` Brown Sugar '' admirably aspires to be more than another `` Best Man '' clone by weaving a theme throughout this funny film .,3
4353,"Exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran Bouquet and the chilling but quite human Berling .",4
4354,... a true delight .,4
4355,"The tonal shifts are jolting , and though Wen 's messages are profound and thoughtfully delivered , more thorough transitions would have made the film more cohesive .",2
4356,"The Four Feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox .",3
4357,"For a good chunk of its running time , Trapped is an effective and claustrophobic thriller .",3
4358,It 's not as awful as some of the recent Hollywood trip tripe ... but it 's far from a groundbreaking endeavor .,1
4359,It 's still worth a look .,3
4360,The problem with movies about angels is they have a tendency to slip into hokum .,1
4361,So putrid it is not worth the price of the match that should be used to burn every print of the film .,0
4362,"A thriller whose style , structure and rhythms are so integrated with the story , you can not separate them .",3
4363,"Insomnia is one of the year 's best films and Pacino gives one of his most daring , and complicated , performances .",4
4364,It 's quite another to feel physically caught up in the process .,2
4365,"If you 're looking to rekindle the magic of the first film , you 'll need a stronger stomach than us .",1
4366,A certain sexiness underlines even the dullest tangents .,3
4367,"Far From Heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama .",3
4368,"Even as it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators , Scratch is great fun , full of the kind of energy it 's documenting .",3
4369,"Seldahl 's Barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .",3
4370,Confounding because it solemnly advances a daringly preposterous thesis .,2
4371,Characters wander into predictably treacherous situations even though they should know better .,1
4372,It 's absolutely amazing how first-time director Kevin Donovan managed to find something new to add to the canon of Chan .,3
4373,"Worth seeing once , but its charm quickly fades .",2
4374,"A graceless , witless attempt at mating Some Like It Hot with the WWII espionage thriller .",1
4375,"There are a few modest laughs , but certainly no thrills .",2
4376,"Scherfig , the writer-director , has made a film so unabashedly hopeful that it actually makes the heart soar .",4
4377,"The latest installment in the Pokemon canon , Pokemon 4ever is surprising less moldy and trite than the last two , likely because much of the Japanese anime is set in a scenic forest where Pokemon graze in peace .",3
4378,The umpteenth summer skinny dip in Jerry Bruckheimer 's putrid pond of retread action twaddle .,2
4379,Men in Black II has sequel-itis something fierce .,1
4380,Go see it and enjoy .,4
4381,"This is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .",4
4382,"Against all odds in heaven and hell , it creeped me out just fine .",3
4383,"With one exception , every blighter in this particular South London housing project digs into dysfunction like it 's a big , comforting jar of Marmite , to be slathered on crackers and served as a feast of bleakness .",2
4384,I ca n't remember the last time I saw a movie where I wanted so badly for the protagonist to fail .,2
4385,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,2
4386,"What enlivens this film , beyond the astute direction of Cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates .",3
4387,Swiftly deteriorates into a terribly obvious melodrama and rough-hewn vanity project for lead actress Andie MacDowell .,0
4388,I have to admit that I am baffled by Jason X.,1
4389,"While The Isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .",3
4390,D.J. Qualls as Indiana Jones ?,2
4391,There 's a part of us that can not help be entertained by the sight of someone getting away with something .,3
4392,A charming but slight comedy .,3
4393,"Although shot with little style , Skins is heartfelt and achingly real .",3
4394,"It 's a square , sentimental drama that satisfies , as comfort food often can .",3
4395,"Both exuberantly romantic and serenely melancholy , What Time Is It There ?",3
4396,It 's horribly depressing and not very well done .,0
4397,"Like the film 's almost anthropologically detailed realization of early - '80s suburbia , it 's significant without being overstated .",3
4398,The best movie in many a moon about the passions that sometimes fuel our best achievements and other times leave us stranded with nothing more than our lesser appetites .,3
4399,The idea of 49-year-old Roberto Benigni playing the wooden boy Pinocchio is scary enough .,2
4400,I 'd have to say the star and director are the big problems here .,1
4401,... is an arthritic attempt at directing by Callie Khouri .,1
4402,"Outside of Burger 's desire to make some kind of film , it 's really unclear why this project was undertaken",1
4403,If Sinise 's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over .,2
4404,"Despite a performance of sustained intelligence from Stanford and another of subtle humour from Bebe Neuwirth , as an older woman who seduces Oscar , the film founders on its lack of empathy for the social milieu - rich New York intelligentsia - and its off",2
4405,"Sure , it 's contrived and predictable , but its performances are so well tuned that the film comes off winningly , even though it 's never as solid as you want it to be .",3
4406,"There 's no real reason to see it , and no real reason not to .",2
4407,Stay for the credits and see a devastating comic impersonation by Dustin Hoffman that is revelatory .,4
4408,LaBute 's careful handling makes the material seem genuine rather than pandering .,4
4409,"Road to Perdition does display greatness , and it 's worth seeing .",4
4410,"More than their unique residences , Home Movie is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it .",4
4411,So unique and stubborn and charismatic that you want it to be better and more successful than it is .,2
4412,"The movie should jolt you out of your seat a couple of times , give you a few laughs , and leave you feeling like it was worth your seven bucks , even though it does turn out to be a bit of a cheat in the end .",3
4413,An infuriating film .,0
4414,"So muddled , repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker 's characteristic style .",0
4415,"Enjoyably dumb , sweet , and intermittently hilarious -- if you 've a taste for the quirky , steal a glimpse .",3
4416,"Aside from the fact that the film idiotically uses the website feardotcom.com or the improperly hammy performance from poor Stephen Rea , the film gets added disdain for the fact that it is nearly impossible to look at or understand .",0
4417,"No one involved , save Dash , shows the slightest aptitude for acting , and the script , credited to director Abdul Malik Abbott and Ernest ` Tron ' Anderson , seems entirely improvised .",0
4418,The movie sticks much closer to Hornby 's drop-dead confessional tone than the film version of High Fidelity did .,2
4419,"I found myself liking the film , though in this case one man 's treasure could prove to be another man 's garbage .",2
4420,It 's also the year 's sweetest movie .,4
4421,"Dissing a Bond movie is quite like calling a dog stupid , but when it has the temerity to run over two hours , you feel like winding up with a kick .",2
4422,A simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,3
4423,"The exploitative , clumsily staged violence overshadows everything , including most of the actors .",3
4424,They do a good job of painting this family dynamic for the audience but they tried to squeeze too many elements into the film .,2
4425,Amazingly dopey .,3
4426,Features Fincher 's characteristically startling visual style and an almost palpable sense of intensity .,3
4427,That the e-graveyard holds as many good ideas as bad is the cold comfort that Chin 's film serves up with style and empathy .,3
4428,It concentrates far too much on the awkward interplay and utter lack of chemistry between Chan and Hewitt .,1
